current_rating,previous_warnings,trips_count,sentiment_pred,sentiment_confidence,category_pred,category_confidence,decision
4.94,0,223,0,0.71,1,0.77,1
4.63,1,123,2,0.87,4,0.8,2
2.6,2,171,2,0.91,3,0.72,4
3.08,3,725,1,0.72,1,0.92,0
4.88,1,958,2,0.74,2,0.78,3
4.87,0,232,0,0.8,3,0.91,1
2.73,3,290,1,0.68,1,0.82,0
2.51,0,778,2,0.77,4,0.86,2
3.96,3,704,2,0.72,3,0.83,4
3.66,1,245,2,0.92,1,0.89,4
3.3,1,290,1,0.62,0,0.82,0
3.88,0,417,2,0.77,1,0.86,3
3.82,1,889,2,0.86,0,0.65,0
3.14,1,325,2,0.78,1,0.95,4
3.58,1,477,0,0.75,4,0.8,0
4.06,1,489,2,0.82,1,0.85,3
2.97,0,36,2,0.8,2,0.92,3
4.21,0,68,0,0.83,4,0.96,0
3.94,0,925,2,0.89,2,0.76,3
4.7,1,329,2,0.95,2,0.86,3
3.78,1,56,2,0.89,4,0.64,2
2.87,1,409,2,0.88,0,0.89,0
4.37,1,349,2,0.79,0,0.7,0
2.79,1,877,2,0.97,4,0.97,2
4.21,1,518,2,0.63,2,0.79,3
4.46,0,868,2,0.77,2,0.91,3
4.93,0,164,0,0.86,3,0.65,1
2.51,1,64,2,0.76,1,0.8,4
3.31,0,288,2,0.78,4,0.89,2
3.97,0,736,2,0.6,2,0.76,3
2.54,0,763,2,0.91,4,0.78,2
3.37,2,409,0,0.96,3,0.71,0
2.98,1,697,2,0.83,4,0.88,2
4.0,1,756,2,0.69,4,0.86,2
2.85,0,61,2,0.85,0,0.81,0
4.75,0,676,2,0.83,4,0.87,2
4.37,1,721,2,0.81,2,0.61,3
3.02,1,256,0,0.77,2,0.95,0
4.83,0,932,0,0.9,3,0.8,1
3.21,1,83,1,0.62,2,0.83,0
3.63,2,753,2,0.91,1,0.86,4
4.18,2,223,2,0.67,4,0.72,4
3.53,1,783,2,0.93,3,0.82,4
4.84,1,768,0,0.94,0,0.78,1
2.96,1,877,1,0.83,3,0.91,0
4.75,1,86,2,0.87,3,0.62,4
4.37,1,863,2,0.97,2,0.68,3
4.54,1,469,2,0.91,2,0.71,3
3.07,1,361,2,0.71,3,0.68,0
3.97,0,260,1,0.89,3,0.77,0
4.99,0,927,0,0.67,1,0.66,1
2.92,1,106,2,0.93,2,0.65,4
3.93,0,406,2,0.91,4,0.7,2
4.61,0,153,2,0.98,4,0.89,2
3.44,1,605,2,0.71,2,0.65,4
4.97,0,134,0,0.83,4,0.98,1
2.75,0,42,2,0.66,4,0.67,2
4.93,0,488,0,0.68,1,0.65,1
3.37,0,415,2,0.65,4,0.86,2
4.6,1,899,2,0.69,2,0.98,3
4.9,3,33,0,0.7,2,0.83,0
4.86,1,689,2,0.93,1,0.7,3
4.9,0,79,0,0.92,0,0.65,1
4.6,1,65,2,0.72,0,0.62,0
3.46,1,624,2,0.88,1,0.65,4
4.94,1,411,0,0.92,1,0.95,1
3.32,0,747,2,0.93,4,0.61,2
4.92,0,339,0,0.76,3,0.7,1
3.33,1,856,2,0.82,1,0.77,4
4.06,0,732,2,0.97,4,0.78,2
4.6,0,374,2,0.98,0,0.67,0
4.83,1,627,0,0.98,0,0.91,1
4.0,1,283,2,0.81,3,0.85,0
4.96,0,905,0,0.74,3,0.72,1
4.83,0,104,2,0.83,4,0.76,2
4.66,1,202,2,0.92,3,0.95,4
2.93,3,522,1,0.62,0,0.65,0
4.86,0,891,0,0.82,4,0.93,1
2.7,1,654,2,0.83,1,0.8,4
4.56,0,187,1,0.68,1,0.93,0
3.92,0,772,2,0.7,2,0.74,3
2.65,1,136,1,0.74,0,0.75,0
2.87,1,930,2,0.93,2,0.94,4
3.19,2,672,1,0.63,3,0.93,0
4.89,1,327,0,0.91,2,0.78,1
2.83,0,869,2,0.98,1,0.75,3
2.73,0,366,2,0.64,1,0.76,3
2.65,1,303,2,0.85,1,0.96,4
2.71,0,419,2,0.69,4,0.78,2
3.39,1,66,2,0.98,1,0.91,4
4.18,0,784,2,0.67,2,0.61,3
3.28,0,772,2,0.9,2,0.79,3
4.3,1,192,2,0.99,1,0.99,3
5.0,0,387,0,0.91,3,0.87,1
4.36,1,901,2,0.93,1,0.76,3
4.2,1,58,2,0.99,1,0.96,3
3.8,3,338,2,0.88,3,0.85,4
2.86,2,768,1,0.83,1,0.89,0
3.46,1,454,2,0.76,1,0.98,4
3.91,0,340,2,0.82,4,0.94,2
3.68,3,126,2,0.95,3,0.63,4
3.54,0,186,2,0.69,2,0.89,3
5.0,0,214,0,0.79,4,0.66,1
3.72,1,814,2,0.71,4,0.64,2
4.58,2,77,0,0.64,1,0.61,0
4.71,2,287,1,0.92,4,0.75,0
4.14,0,912,2,0.97,4,0.64,2
4.29,1,975,2,0.66,2,0.93,3
4.83,1,757,2,0.7,4,0.67,2
3.98,1,297,2,0.99,4,0.93,2
3.04,0,236,1,0.89,2,0.87,0
4.91,0,622,0,0.82,4,0.65,1
3.28,0,929,2,0.81,1,0.63,3
3.96,2,268,2,0.87,3,0.64,4
4.65,1,929,2,0.66,2,0.81,3
4.86,0,979,0,0.8,2,0.68,1
2.95,1,494,1,0.86,4,0.97,0
4.02,0,782,2,0.79,4,0.73,2
4.7,0,846,2,0.87,0,0.79,0
4.33,0,127,2,0.62,3,0.66,0
2.64,0,169,2,0.81,2,0.72,3
4.87,0,841,0,0.66,3,0.94,1
4.84,1,523,0,0.89,0,0.81,1
3.12,0,716,2,0.84,4,0.84,2
4.6,1,530,2,0.71,2,0.6,3
4.32,2,105,0,0.69,1,0.72,0
3.29,3,823,2,0.76,2,0.68,4
3.39,0,989,2,0.66,2,0.61,3
4.73,0,859,2,0.83,4,0.9,2
4.38,1,295,2,0.97,1,0.86,3
4.93,0,469,0,0.81,0,0.86,1
3.38,3,854,2,0.92,3,0.84,4
4.47,0,560,2,0.96,4,0.87,2
4.88,0,887,0,0.71,1,0.78,1
2.74,0,329,2,0.6,4,0.98,2
4.56,0,694,2,0.73,1,0.71,3
3.89,2,260,2,0.8,2,0.93,4
4.92,0,836,0,0.84,3,0.94,1
4.31,0,555,2,0.69,3,0.75,0
3.36,0,271,2,0.98,4,0.74,2
2.64,1,284,2,0.8,2,0.78,4
3.27,0,609,2,0.69,4,0.74,2
4.82,0,644,0,0.61,1,0.94,1
4.44,2,97,1,0.99,4,0.72,0
4.76,0,941,2,0.78,4,0.93,2
3.7,3,362,2,0.93,3,0.93,4
3.66,1,780,2,0.69,2,0.89,4
3.68,1,468,2,0.73,1,0.79,4
3.43,1,474,2,0.72,3,0.63,0
3.81,1,589,2,0.71,4,0.83,2
4.74,1,78,2,0.8,1,0.76,3
2.9,2,749,0,0.97,0,0.69,0
4.57,1,188,2,0.96,1,0.87,3
4.74,0,257,2,0.6,4,0.96,2
3.13,0,20,2,0.97,1,0.64,3
4.4,0,295,2,0.94,0,0.7,0
3.88,2,497,2,0.92,3,0.7,4
3.92,3,870,2,0.98,1,0.9,4
2.9,1,626,2,0.78,1,0.85,4
4.42,0,949,2,0.84,2,0.73,3
4.8,0,365,0,0.79,0,0.88,1
4.95,0,806,0,0.97,4,0.69,1
4.95,0,119,0,0.84,3,0.66,1
4.12,1,428,2,0.77,4,0.84,2
4.5,0,948,2,0.75,4,0.89,2
4.0,1,556,2,0.84,2,0.95,3
3.74,2,63,2,0.83,2,0.63,4
4.85,1,51,0,0.99,1,0.93,1
4.93,0,475,2,0.82,1,0.82,3
4.85,1,42,2,0.78,1,0.91,3
2.81,0,684,2,0.91,1,0.9,3
3.3,0,762,2,0.92,2,0.7,3
3.41,0,61,1,0.7,2,0.94,0
2.68,0,135,2,0.81,1,0.62,3
4.82,1,91,2,0.91,2,0.77,3
4.85,3,723,1,0.81,1,0.83,0
4.51,1,503,2,0.73,1,0.86,3
4.85,0,838,0,0.79,1,0.7,1
3.74,0,458,0,0.83,3,0.89,0
4.74,0,550,2,0.72,4,0.97,2
2.51,3,793,2,0.97,2,0.7,4
4.02,1,402,2,0.85,2,0.86,3
4.8,0,990,1,0.82,1,0.89,0
3.04,1,483,2,0.68,4,0.96,2
3.89,2,58,2,0.85,0,0.88,4
2.97,1,134,2,0.9,3,0.83,4
3.49,3,328,2,0.99,3,0.76,4
4.84,0,473,2,0.69,1,0.69,3
4.4,1,112,1,0.68,3,0.91,0
3.58,0,241,2,0.78,1,0.62,3
3.21,1,862,2,0.82,4,0.62,2
3.45,0,528,2,0.78,1,0.76,3
4.28,0,212,2,0.82,2,0.82,3
3.04,1,402,2,0.96,4,0.96,2
2.68,0,688,2,0.78,1,0.67,3
2.52,1,459,2,0.76,4,0.87,2
3.62,0,261,2,0.71,4,0.95,2
3.73,2,702,2,0.74,1,0.82,4
4.57,1,890,2,0.89,2,0.66,3
4.7,1,302,2,0.88,2,0.7,3
2.74,1,173,2,0.66,4,0.64,2
4.83,1,441,2,0.8,2,0.77,3
3.69,0,439,2,0.72,2,0.8,3
2.64,0,604,2,0.63,4,0.69,2
3.57,1,344,2,0.72,0,0.9,0
2.56,1,116,2,0.67,4,0.78,2
4.82,2,31,0,0.9,4,0.62,0
4.88,0,952,0,0.64,4,0.81,1
3.14,1,338,2,0.7,2,0.75,4
2.58,1,892,2,0.97,4,0.7,2
4.83,0,368,0,0.75,2,0.7,1
4.66,1,494,2,0.62,2,0.83,3
4.39,1,289,2,0.63,1,0.96,3
3.69,0,17,2,0.87,4,0.96,2
3.0,1,525,2,0.76,4,0.71,2
2.82,1,780,2,0.72,2,0.67,4
4.23,1,114,2,0.96,4,0.93,2
4.1,1,918,2,0.94,1,0.99,3
3.17,2,68,2,0.96,3,0.82,4
4.2,1,144,2,0.68,0,0.94,0
2.53,0,425,2,0.92,4,0.61,2
3.43,0,626,2,0.97,3,0.69,4
4.49,0,748,2,0.88,2,0.67,3
4.91,1,592,2,0.86,2,0.98,3
4.02,0,978,2,0.75,1,0.65,3
5.0,0,468,0,0.67,2,0.87,1
4.32,0,57,2,0.64,0,0.91,0
4.83,0,176,1,0.9,0,0.97,0
2.82,1,364,2,0.99,3,0.74,4
4.62,1,900,2,0.91,4,0.71,2
3.84,1,280,2,0.64,4,0.83,2
4.95,0,198,0,0.84,2,0.86,1
2.67,0,728,2,0.89,3,0.74,4
4.95,0,631,0,0.97,0,0.69,1
4.99,0,476,0,0.7,3,0.93,1
3.23,0,826,2,0.75,4,0.78,2
3.67,1,796,2,0.81,4,0.91,2
4.71,1,804,2,0.68,2,0.9,3
3.97,1,689,2,0.66,4,0.66,2
4.01,1,41,2,0.94,2,0.7,3
4.18,0,402,2,0.84,1,0.65,3
3.99,1,987,2,0.92,2,0.79,4
4.22,0,220,2,0.68,4,0.91,2
4.88,1,139,0,0.83,1,0.73,1
4.91,0,482,0,0.72,3,0.98,1
4.95,0,322,2,0.9,1,0.84,3
4.89,0,995,0,0.82,1,0.97,1
3.16,1,950,2,0.76,0,0.78,0
4.86,0,125,0,0.91,2,0.84,1
3.12,1,741,2,0.82,1,0.96,4
2.79,0,337,2,0.95,2,0.66,3
4.86,0,539,0,0.94,3,0.82,1
3.7,1,299,1,0.9,4,0.82,0
2.85,0,837,2,0.68,3,0.88,0
3.71,0,515,2,0.83,1,0.85,3
3.54,0,879,2,0.9,2,0.63,3
4.97,0,928,0,0.9,3,0.66,1
4.84,0,544,0,0.64,0,0.93,1
4.75,1,351,0,0.92,1,0.93,0
4.08,1,212,2,0.66,2,0.88,3
4.33,3,16,2,0.83,2,0.71,4
4.96,0,285,0,0.66,1,0.67,1
4.0,0,970,2,0.79,4,0.95,2
4.87,0,689,0,0.8,2,0.65,1
4.06,0,994,2,0.64,1,0.99,3
4.79,2,875,2,0.94,3,0.83,4
4.86,0,230,0,0.88,1,0.66,1
4.8,0,758,0,0.71,2,0.85,1
4.85,1,504,2,0.85,4,0.65,2
3.65,1,196,2,0.68,4,0.68,2
4.67,1,845,2,0.74,4,0.8,2
4.95,0,531,0,0.61,2,0.82,1
4.0,1,561,2,0.78,3,0.93,0
3.77,0,975,0,0.87,0,0.87,0
4.82,0,432,0,0.75,0,0.71,1
3.9,0,873,2,0.7,2,0.97,3
3.23,1,21,2,0.6,1,0.85,4
3.16,3,114,2,0.72,2,0.64,4
2.5,0,680,2,0.9,4,0.81,2
4.48,3,12,1,0.65,2,0.63,0
3.79,1,490,2,0.79,4,0.95,2
4.26,0,762,2,0.85,1,0.78,3
4.96,0,69,0,0.7,3,0.98,1
4.51,0,193,2,0.83,3,0.72,0
4.7,1,630,2,0.76,2,0.68,3
2.53,1,877,2,0.72,4,0.79,2
4.86,0,727,0,0.68,2,0.88,1
4.62,1,408,2,0.62,1,0.78,3
3.37,1,764,2,0.96,3,0.6,4
3.76,1,108,2,0.68,2,0.92,4
4.15,3,607,1,0.72,0,0.83,0
4.56,1,772,2,0.93,4,0.98,2
2.93,3,204,2,0.9,3,0.91,4
3.73,1,284,2,0.6,2,0.77,4
2.57,1,807,2,0.72,4,0.86,2
3.93,0,587,2,0.71,3,0.94,0
3.03,1,935,2,0.98,4,0.94,2
4.88,1,69,2,0.89,1,0.85,3
2.94,2,254,2,0.79,2,0.87,4
3.18,1,352,2,0.73,1,0.7,4
3.17,0,880,2,0.88,2,0.92,3
4.85,3,36,0,0.75,0,0.83,0
3.47,2,961,2,0.93,4,0.61,4
2.78,1,955,2,0.62,2,0.92,4
4.86,0,705,0,0.84,3,0.95,1
2.62,0,748,2,0.62,4,0.71,2
3.49,3,611,1,0.64,2,0.93,0
3.66,1,411,2,0.92,4,0.8,2
3.88,0,978,2,0.87,3,0.64,4
3.2,1,492,2,0.83,4,0.76,2
4.89,1,846,2,0.78,2,0.75,3
4.97,1,604,0,0.89,3,0.88,1
4.53,2,497,0,0.82,3,0.64,0
3.05,0,468,2,0.63,4,0.82,2
2.77,0,749,2,0.96,4,0.99,2
4.24,1,188,2,0.83,1,0.77,3
2.66,3,557,2,0.98,3,0.68,4
3.98,3,946,1,0.63,1,0.65,0
4.84,0,28,0,0.85,4,0.78,0
4.6,0,376,2,0.93,4,0.76,2
4.02,1,353,2,0.95,4,0.6,2
4.31,1,69,2,0.92,4,0.79,2
4.37,0,976,2,0.82,0,0.71,0
4.89,0,938,0,0.68,1,0.73,1
4.23,1,989,1,0.67,0,0.91,0
3.32,3,481,2,0.73,1,0.64,4
4.83,0,631,0,0.62,0,0.66,1
4.48,1,315,2,0.75,2,0.71,3
4.5,2,839,1,0.89,1,0.9,0
3.51,3,890,0,0.72,4,0.62,0
4.81,0,597,0,0.87,1,0.92,1
3.71,0,274,2,0.6,2,0.7,3
4.35,0,439,0,0.69,0,0.64,0
3.9,0,95,1,0.85,1,0.94,0
4.56,1,694,2,0.81,1,0.65,3
3.07,2,767,2,0.88,3,0.73,4
3.12,0,446,2,0.88,0,0.72,0
4.1,1,698,2,0.67,1,0.82,3
3.0,1,563,2,0.8,2,0.86,4
3.42,1,221,2,0.85,2,0.87,4
4.33,3,188,2,0.73,0,0.88,4
3.55,0,904,2,0.66,0,0.72,0
4.87,1,460,0,0.76,1,0.97,1
3.24,3,888,1,0.87,0,0.98,0
4.99,0,516,0,0.98,4,0.81,1
2.62,3,350,1,0.93,3,0.91,0
3.96,1,597,2,0.89,4,0.96,2
3.99,0,680,2,0.88,3,0.86,4
4.0,3,121,1,0.87,1,0.97,0
4.77,0,300,2,0.81,4,0.73,2
4.41,0,815,2,0.79,1,0.78,3
2.98,2,316,2,0.92,1,0.72,4
4.07,0,397,2,0.79,4,0.72,2
4.78,1,950,2,0.67,1,0.86,3
4.92,0,613,0,0.77,4,0.75,1
4.36,0,104,1,0.75,2,0.93,0
4.81,1,283,0,0.93,3,0.82,1
4.58,1,834,2,0.78,4,0.64,2
2.78,1,710,0,0.73,1,0.9,0
4.53,1,460,2,0.97,1,0.79,3
4.06,0,296,2,0.67,4,0.72,2
3.96,0,174,2,0.75,0,0.85,0
4.01,1,990,1,0.65,1,0.78,0
4.94,0,324,0,0.61,2,0.98,1
2.6,1,362,1,0.71,4,0.6,0
3.57,1,755,2,0.92,1,0.72,4
4.69,3,347,2,0.92,1,0.79,4
3.12,3,723,2,0.86,3,0.88,4
2.82,3,641,0,0.8,4,0.9,0
4.38,1,355,2,0.95,4,0.9,2
3.37,0,507,2,0.68,1,0.93,3
5.0,0,344,0,0.75,0,0.93,1
4.84,0,68,0,0.99,2,0.85,1
4.43,1,237,2,0.8,1,0.76,3
4.07,1,34,2,0.76,2,0.81,3
3.84,0,588,2,0.61,1,0.65,3
4.26,1,617,2,0.76,2,0.9,3
4.56,0,187,2,0.77,2,0.99,3
4.33,3,289,1,0.7,2,0.73,0
3.27,1,340,0,0.98,3,0.91,0
4.55,1,72,2,0.8,1,0.73,3
3.33,1,781,2,0.64,2,0.66,4
4.03,3,930,0,0.95,4,0.66,0
2.67,2,673,0,0.78,3,0.95,0
4.81,0,228,0,0.68,3,0.89,1
4.88,0,357,0,0.69,0,0.93,1
3.66,3,886,2,0.6,3,0.84,4
4.58,0,356,2,0.68,2,0.79,3
4.4,0,830,2,0.74,1,0.82,3
2.61,0,441,2,0.86,4,0.79,2
4.83,0,267,2,0.75,4,0.7,2
4.34,0,426,2,0.87,4,0.95,2
4.42,0,574,2,0.77,4,0.86,2
4.13,0,544,2,0.85,1,0.78,3
4.29,1,818,2,0.72,1,0.73,3
2.58,0,81,2,0.67,4,0.91,2
4.53,0,180,0,0.65,0,0.98,0
3.24,1,789,2,0.7,4,0.72,2
3.97,0,802,2,0.66,4,0.68,2
2.6,0,608,2,0.69,4,0.64,2
4.88,0,435,0,0.97,4,0.83,1
4.54,1,433,2,0.66,1,0.96,3
2.62,1,94,1,0.79,3,0.85,0
4.52,0,600,2,0.88,4,0.62,2
4.89,0,520,0,0.8,2,0.68,1
4.26,1,77,2,0.99,2,0.87,3
3.29,1,630,2,0.89,0,0.96,0
3.66,2,956,2,0.75,1,0.97,4
4.83,0,69,0,0.86,3,0.78,1
3.19,3,439,2,0.78,2,0.78,4
4.66,2,329,2,0.89,3,0.83,4
4.67,0,14,2,0.72,0,0.91,0
3.2,2,492,1,0.97,2,0.74,0
3.34,3,757,2,0.96,0,0.73,4
2.89,1,667,2,0.92,3,0.97,4
4.87,0,766,0,0.87,3,0.65,1
2.67,1,95,2,0.92,1,0.62,4
4.24,0,749,2,0.69,4,0.6,2
2.92,0,255,2,0.61,1,0.87,3
4.31,1,265,2,0.99,3,0.67,4
4.03,0,762,2,0.93,4,0.71,2
4.82,2,687,2,0.89,3,0.68,4
3.9,1,210,2,0.73,2,0.76,4
4.78,1,435,0,0.68,0,0.91,0
4.97,0,707,0,0.76,2,0.85,1
2.51,2,826,2,0.93,2,0.78,4
4.97,0,349,0,0.97,3,0.66,1
4.13,0,408,2,0.69,4,0.98,2
3.01,2,739,2,0.73,0,0.86,4
3.34,0,111,2,0.75,1,0.74,3
3.15,0,509,2,0.88,4,0.65,2
3.05,2,512,2,0.92,4,0.93,4
4.03,3,716,2,0.89,4,0.79,4
3.45,1,312,2,0.76,4,0.64,2
3.55,1,634,2,0.97,2,0.82,4
3.56,0,509,2,0.65,1,0.84,3
4.98,1,321,0,0.61,4,0.67,1
3.08,1,174,2,0.66,2,0.72,4
2.91,1,15,2,0.78,2,0.91,4
4.88,0,877,0,0.98,2,0.72,1
4.12,1,863,2,0.72,4,0.63,2
2.85,0,583,2,0.86,4,0.95,2
4.9,0,521,0,0.92,2,0.84,1
4.5,3,1000,1,0.91,2,0.91,0
2.74,0,452,2,0.85,4,0.96,2
4.08,3,181,2,0.84,2,0.7,4
2.56,2,427,2,0.6,2,0.83,4
3.54,0,679,2,0.79,4,0.82,2
2.86,3,611,2,0.88,4,0.77,4
3.51,0,192,2,0.63,2,0.63,3
2.64,3,618,2,0.96,3,0.98,4
2.52,2,54,2,0.88,3,0.98,4
3.11,0,753,2,0.89,2,0.67,3
4.73,3,761,2,0.93,3,0.93,4
4.34,1,504,2,0.6,1,0.83,3
4.92,0,242,0,0.61,1,0.89,1
4.53,0,402,2,0.91,2,0.69,3
4.83,0,972,0,0.83,0,0.89,1
4.16,0,817,2,0.6,0,0.96,0
4.37,0,998,2,0.82,4,0.88,2
3.29,0,863,2,0.98,4,0.86,2
2.94,1,19,2,0.92,4,0.89,2
3.94,1,315,2,0.64,4,0.84,2
3.93,3,260,1,0.87,3,0.99,0
3.66,2,536,0,0.97,2,0.7,0
2.58,0,232,2,0.67,1,0.89,3
4.69,0,28,2,0.63,2,0.79,3
3.65,3,658,2,0.93,3,0.87,4
2.77,0,285,2,0.82,4,0.94,2
3.06,3,779,2,0.62,3,0.68,4
3.2,1,513,2,0.72,4,0.72,2
3.13,1,238,0,0.89,4,0.63,0
4.6,3,529,0,0.81,0,0.91,0
4.87,1,13,0,0.93,2,0.82,0
3.37,1,846,2,0.91,0,0.74,0
4.66,1,703,2,0.9,1,0.75,3
4.2,1,736,2,0.94,3,0.72,4
4.92,0,426,0,0.99,2,0.88,1
4.93,0,468,0,0.83,4,0.64,1
4.87,2,10,0,0.68,0,0.74,0
4.96,0,451,0,0.75,3,0.81,1
4.06,1,337,2,0.98,2,0.79,3
3.89,2,14,2,0.84,1,0.67,4
4.33,1,340,2,0.8,1,0.85,3
4.54,1,894,2,0.67,1,0.62,3
4.94,0,306,0,0.62,0,0.84,1
4.7,0,454,2,0.84,3,0.9,0
4.95,0,648,0,0.77,3,0.61,1
4.21,1,643,2,0.61,3,0.75,0
2.78,0,453,2,0.99,2,0.91,3
4.1,0,95,2,0.67,4,0.77,2
3.66,1,120,2,0.83,4,0.66,2
3.26,1,286,2,0.88,4,0.78,2
4.12,3,659,1,0.71,4,0.97,0
3.7,1,154,2,0.87,4,0.63,2
2.9,2,809,0,0.74,4,0.79,0
3.94,1,148,2,0.87,2,0.8,4
4.15,1,461,2,0.69,4,0.91,2
3.2,0,574,0,0.67,4,0.63,0
3.09,1,875,2,0.63,2,0.91,4
4.85,0,750,0,0.76,0,0.95,1
4.89,0,915,0,0.95,2,0.77,1
4.89,1,882,0,0.95,1,0.6,1
4.35,1,868,2,0.6,4,0.85,2
4.92,1,980,0,0.68,1,0.76,1
